Budget Year Name,Account Type,Balance Type,Current Stage Desc,Unit And Desc,DEPT,Subunit And Desc,Child Fund And Desc,Child Project And Desc,Program And Desc,Child Acct And Desc, Year Amount SUM 
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41111 - Property Tax: Current Secured," 79,256,650 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41112 - Property Tax: Current Unsecured," 5,548,360 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41113 - Property Tax: Current Unitary," 2,242,730 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41114 - Property Tax: Current Homeowner's Relief Subvention," 1,234,450 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41115 - Property Tax: Prior Secured," 2,353,880 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41116 - Property Tax: Prior Unsecured," 50,380 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41118 - Property Tax: Secured Supplemental Assessment," 1,462,700 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41120 - Property Tax: Aircraft In-Lieu," 1,690,910 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41122 - Property Tax: County Interest Apportionment," 689,560 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,1200 - Pension Override Tax Revenue,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,41122 - Property Tax: County Interest Apportionment," 193,140 "
